product_id,category,name,price_usd,cost_usd,margin_usd,margin_pct
1,Electronics,SSD MediumBlue 149,570.28,352.69,217.59,38.15494143227888
2,Electronics,Keyboard DeepPink 696,498.13,263.13,235.0,47.17643988517054
3,Electronics,Headphones Orchid 188,548.53,309.6,238.93,43.558237471059016
4,Electronics,Smartwatch BurlyWood 664,268.36,153.56,114.8,42.778357430317484
5,Electronics,Smartwatch Cornsilk 328,63.69,42.65,21.04,33.03501334589418
6,Electronics,Headphones WhiteSmoke 326,358.95,222.19,136.76,38.10001392951665
7,Electronics,Headphones DarkGray 529,347.3,187.53,159.77,46.003455226029374
8,Electronics,Mouse Moccasin 673,338.19,227.02,111.17,32.872054170732426
9,Electronics,Mouse Chartreuse 292,88.74,59.58,29.16,32.86004056795132
10,Electronics,SSD Tan 677,85.54,61.04,24.5,28.641571194762683
11,Electronics,Headphones HotPink 644,382.84,248.43,134.41,35.10866158186188
12,Electronics,Smartwatch Blue 564,473.02,302.58,170.44,36.032303073865805
13,Electronics,SSD DarkCyan 815,200.87,148.31,52.56,26.166177129486734
14,Electronics,Webcam PowderBlue 606,76.66,45.24,31.42,40.9861727106705
15,Electronics,SSD PeachPuff 174,445.78,261.4,184.38,41.36120956525641
16,Electronics,Keyboard CornflowerBlue 450,321.8,176.83,144.97,45.04972032318209
17,Electronics,Mouse LawnGreen 784,561.96,352.07,209.89,37.34963342586661
18,Electronics,Keyboard DarkGoldenRod 996,465.81,312.98,152.83,32.80951460896074
19,Electronics,SSD Peru 608,223.87,135.45,88.42,39.49613615044446
20,Electronics,Speaker Chocolate 376,69.19,36.54,32.65,47.1889001300766
21,Electronics,Speaker DarkRed 848,427.31,221.99,205.32,48.04942547564999
22,Electronics,Monitor Ivory 941,398.86,318.26,80.6,20.207591636163063
23,Electronics,Speaker Chocolate 784,192.22,118.36,73.86,38.42472167308292
24,Electronics,SSD Orchid 272,42.86,27.37,15.49,36.14092393840411
25,Electronics,Keyboard BurlyWood 394,311.41,176.09,135.32,43.453967438425224
26,Electronics,Mouse Indigo 992,450.87,279.26,171.61,38.061969081997034
27,Electronics,Speaker Brown 662,75.93,48.2,27.73,36.520479388910836
28,Electronics,Monitor DarkSlateBlue 984,533.53,397.9,135.63,25.42125091372556
29,Electronics,Monitor LightSteelBlue 799,432.65,344.36,88.29,20.406795331099044
30,Electronics,Smartwatch PeachPuff 280,575.91,314.03,261.88,45.47238283759615
